維基集數,Every Spongebob Frame In Order,中文集數名稱,英文集數名稱
01-A,S1E01,急徵店員,Help Wanted
01-B,S1E02,海底清潔隊,Reef Blower
01-C,S1E03,我的好朋友,Tea at the Treedome
02-A,S1E04,吹泡泡,Bubblestand
02-B,S1E05,破褲子,Ripped Pants
03-A,S1E06,抓水母,Jellyfishing
03-B,S1E07,奸詐的皮老闆,Plankton!
04-A,S1E08,挑撥離間,Naughty Nautical Neighbors
04-B,S1E09,海底駕訓班,Boating School
05-A,S1E10,外送披薩,Pizza Delivery
05-B,S1E11,甜蜜的家,Home Sweet Pineapple
06-A,S1E12,海超人與大洋遊俠,Mermaid Man and Barnacle Boy
06-B,S1E13,酸黃瓜,Pickles
07-A,S1E14,糾察隊長,Hall Monitor
07-B,S1E15,頑皮小水母,Jellyfish Jam
08-A,S1E16,珊迪的火箭,Sandy's Rocket
08-B,S1E17,長靴啾啾叫,Squeaky Boots
09-A,S1E18,回歸自然,Nature Pants
09-B,S1E19,相反日,Opposite Day
10-A,S1E20,才藝表演,Culture Shock
10-B,S1E21,歡樂歌,F.U.N.
11-A,S1E22,超級猛男,MuscleBob BuffPants
11-B,S1E23,章魚鬼大哥,Squidward the Unfriendly Ghost
12-A,S1E24,快樂舞會,The Chaperone
12-B,S1E25,本月最佳員工,Employee of the Month
13-A,S1E26,膽小鬼,Scaredy Pants
13-B,S1E27,可憐的小蝸,I Was a Teenage Gary
14-A,S1E28,時空旅行(SB-129),SB-129
14-B,S1E29,我愛空手道,Karate Choppers
15-A,S1E30,夢境歷險記,Sleepy Time
15-B,S1E31,泡泡病,Suds
16-A,S1E32,情人節快樂,Valentine's Day
16-B,S1E33,一張小紙片,The Paper
17-A,S1E34,尋寶遊戲,Arrgh!
17-B,S1E35,我要回家,Rock Bottom
18-A,S1E36,想家的珊迪,Texas
18-B,S1E37,邪惡小壞蛋,Walking Small
19-A,S1E38,愚人節快樂,Fools in April
19-B,S1E39,海神黃金鍋鏟,Neptune's Spatula
20-A,S1E40,可怕的魔鉤,Hooky
20-B,S1E41,海超人與大洋遊俠二,Mermaid Man and Barnacle Boy Ⅱ
21-A,S2E01,我不會綁鞋帶,Your Shoe's Untied
21-B,S2E02,章魚哥的休假日,Squid's Day Off
22-A,S2E03,臭到不行,Something Smells
22-B,S2E04,老闆的女兒,Bossy Boots
23-A,S2E05,我也要獎盃,Big Pink Loser
23-B,S2E06,泡泡老哥,Bubble Buddy
24-A,S2E07,爆炸死亡派,Dying for Pie
24-B,S2E08,蟹老闆的冒牌貨,Imitation Krabs
25-A,S2E09,蟲蟲危機,Wormy
25-B,S2E10,美麗蟹堡,Patty Hype
26-A,S2E11,我愛奶奶,Grandma's Kisses
26-B,S2E12,章魚哥天堂,Squidville
27-A,S2E13,玩到掛,Prehibernation Week
27-B,S2E14,絕命大逃亡,Life of Crime
28-A,S2E15,什麼聖誕節,Christmas Who?
29-A,S2E16,不要吵我,Survival of the Idiots
29-B,S2E17,我要小蝸,Dumped
30-A,S2E18,小心駕駛,No Free Rides
30-B,S2E19,頭號粉絲,I'm Your Biggest Fanatic
31-A,S2E20,海超人與大洋遊俠三,Mermaid Man and Barnacle Boy Ⅲ
31-B,S2E21,冷笑話,Squirrel Jokes
32-A,S2E22,我比你優,Pressure
32-B,S2E23,大牡蠣生氣了,The Smoking Peanut
33-A,S2E24,嚇死你,Shanghaied
33-B,S2E25,洗澡囉,Gary Takes a Bath
34-A,S2E26,歡迎光臨,Welcome to the Chum Bucket
34-B,S2E27,神奇鉛筆,Frankendoodle
35-A,S2E28,秘密寶盒,The Secret Box
35-B,S2E29,超酷大樂團,Band Geeks
36-A,S2E30,可怕的大夜班,Graveyard Shift
36-B,S2E31,蟹老闆的愛,Krusty Love
37-A,S2E32,報告大戰,Procrastination
37-B,S2E33,笨笨派大星,I'm with Stupid
38-A,S2E34,不可以說,Sailor Mouth
38-B,S2E35,藝術天才,Artist Unknown
39-A,S2E36,水母蟹堡,Jellyfish Hunter
39-B,S2E37,廚藝大賽,The Fry Cook Games
40-A,S2E38,我們來罷工,Squid on Strike
40-B,S2E39,大怪蟲來襲,"Sandy, SpongeBob, and the Worm"
41-A,S3E01,交換身分,The Algae's Always Greener
41-B,S3E02,我要當救生員,SpongeGuard on Duty
42-A,S3E03,神奇海螺,Club SpongeBob
42-B,S3E04,我美麗的海馬,My Pretty Seahorse
43-A,S3E05,我愛蟹堡,Just One Bite
43-B,S3E06,我怕惡霸,The Bully
44-A,S3E07,誤會一場,Nasty Patty
44-B,S3E08,好玩的箱子,Idiot Box
45-A,S3E09,海超人與大洋遊俠四,Mermaid Man and Barnacle Boy Ⅳ
45-B,S3E10,我愛坐牢,Doing Time
46-A,S3E11,下雪了,Snowball Effect
46-B,S3E12,垃圾寶物,One Krab's Trash
47-A,S3E13,廣告明星,As Seen on TV
47-B,S3E14,懶惰蟲,Can You Spare a Dime?
48-A,S3E15,我要當猛男,No Weenies Allowed
48-B,S3E16,我是大老闆,Squilliam Returns
49-A,S3E17,我怕機器人,Krab Borg
49-B,S3E18,我們的小寶貝,Rock-a-Bye Bivalve
50-A,S3E19,油漆風波,Wet Painters
50-B,S3E20,蟹堡特訓,Krusty Krab Training Video
51-A,S3E21,狂歡派對,Party Pooper Pants
52-A,S3E22,榮華富貴,Chocolate with Nuts
52-B,S3E23,海超人與大洋遊俠五,Mermaid Man and Barnacle Boy Ⅴ
53-A,S3E24,大鬧駕訓班,New Student Starfish
53-B,S3E25,守財奴,Clams
54-A,S3E26,古代歷險記,Ugh
55-A,S3E27,蝸牛賽跑,The Great Snail Race
55-B,S3E28,老頑童,Mid-Life Crustacean
56-A,S3E29,我不要死,Born Again Krabs
56-B,S3E30,我不想死,I Had an Accident
57-A,S3E31,放暑假,Krabby Land
57-B,S3E32,露營歷險記,The Camping Episode
58-A,S3E33,弄丟名牌,Missing Identity
58-B,S3E34,大軍入侵,Plankton's Army
59-A,S3E35,海綿寶寶飛向天際,The Sponge Who Could Fly
60-A,S3E36,我的保鑣,SpongeBob Meets the Strangler
60-B,S3E37,光屁屁,Pranks a Lot
61-A,S4E01,蟹堡恐懼症,Fear of a Krabby Patty
61-B,S4E02,虛有其表,Shell of a Man
62-A,S4E03,心愛的床墊,The Lost Mattress
62-B,S4E04,老闆打官司,Krabs vs. Plankton
63-A,S4E05,小蝸不見了,Have You Seen This Snail?
64-A,S4E06,夾娃娃機,Skill Crane
64-B,S4E07,美麗星期天,Good Neighbors
65-A,S4E08,我們的蟹堡王,Selling Out
65-B,S4E09,快樂心,Funny Pants
66-A,S4E10,中世紀歷險記,Dunces and Dragons
67-A,S4E11,我戀愛了,Enemy In-Law
67-B,S4E12,海超人與大洋遊俠六：電影明星,Mermaid Man and Barnacle Boy Ⅵ: The Motion Picture
68-A,S4E13,天才派大星,Patrick SmartPants
68-B,S4E14,合體怪ㄎㄚ,SquidBob TentaclePants
69-A,S4E15,蟹堡王飯店,Krusty Towers
69-B,S4E16,泡芙阿姨失業了,"Mrs. Puff, You're Fired"
70-A,S4E17,偉大的發明,Chimps Ahoy
70-B,S4E18,嚇死你,Ghost Host
71-A,S4E19,生日快樂,Whale of a Birthday
71-B,S4E20,空手道大王,Karate Island
72-A,S4E21,心愛的鏟鏟,All That Glitters
72-B,S4E22,許願井,Wishing You Well
73-A,S4E23,化敵為友,New Leaf
73-B,S4E24,瘋狂蝸牛症,Once Bitten
74-A,S4E25,放大假,Bummer Vacation
74-B,S4E26,假髮樂,Wigstruck
75-A,S4E27,我縮小了,Squidtastic Voyage
75-B,S4E28,我不是派美眉,That's No Lady
76-A,S4E29,怪東西,The Thing
76-B,S4E30,我是魔法師,Hocus Pocus
77-A,S4E31,好哥們,Driven to Tears
77-B,S4E32,我是國王,Rule of Dumb
78-A,S4E33,壞東西,Born to Be Wild
78-B,S4E34,化敵為友,Best Frenemies
79-A,S4E35,好夥伴,The Pink Purloiner
79-B,S4E36,小小章魚哥,Squid Wood
80-A,S4E37,最美好的一天,Best Day Ever
80-B,S4E38,好朋友的禮物,The Gift of Gum
81-A,S5E01,我的好麻吉,Friend or Foe
82-A,S5E02,金牌神廚,The Original Fry Cook
82-B,S5E03,我怕黑,Night Light
83-A,S5E04,早安，派大星,Rise and Shine
83-B,S5E05,等等等,Waiting
83-C,S5E06,癢癢,Fungus Among Us
84-A,S5E07,海底特務,Spy Buddies
84-B,S5E08,安全駕駛,Boat Smarts
84-C,S5E09,顧客第一,Good Ol' Whatshisname
85-A,S5E10,我愛蟹堡王,New Digs
85-B,S5E11,百變蟹堡王,Krabs à la Mode
86-A,S5E12,我們好勇敢,Roller Cowards
86-B,S5E13,整修海之霸,Bucket Sweet Bucket
87-A,S5E14,我的美美,To Love a Patty
87-B,S5E15,突變章魚哥,Breath of Fresh Squidward
88-A,S5E16,會說話的錢,Money Talks
88-B,S5E17,海綿寶寶與大戰蟹堡機,SpongeBob vs. The Patty Gadget
88-C,S5E18,飆舞大賽,Slimy Dancing
89-A,S5E19,爆紅大明星,The Krusty Sponge
89-B,S5E20,我是大歌星,Sing a Song of Patrick
90-A,S5E21,大戰跳蚤,A Flea in Her Dome
90-B,S5E22,我的甜甜圈,The Donut of Shame
90-C,S5E23,盤子髒髒,The Krusty Plate
91-A,S5E24,寶寶噴霧,Goo Goo Gas
91-B,S5E25,交換廚師,Le Big Switch
92-A,S5E26,亞特蘭提斯之旅,Atlantis SquarePantis
93-A,S5E27,拍照日,Picture Day
93-B,S5E28,白吃客,Pat No Pay
93-C,S5E29,黑傑克,BlackJack
94-A,S5E30,吹牛大王,Blackened Sponge
94-B,S5E31,代言大戰,Mermaid Man vs. SpongeBob
95-A,S5E32,歡樂假期,The Inmates of Summer
95-B,S5E33,野外求生記,To Save a Squirrel
96-A,S5E34,西部大冒險,Pest of the West
97-A,S5E35,行動餐廳,"20,000 Patties Under the Sea"
97-B,S5E36,比奇堡戰役,The Battle of Bikini Bottom
98-A,S5E37,失蹤記,What Ever Happened to SpongeBob?
99-A,S5E38,超級大帥哥,The Two Faces of Squidward
99-B,S5E39,海綿寶寶頌,SpongeHenge
100-A,S5E40,勒令停業,Banned in Bikini Bottom
100-B,S5E41,破壞狂表弟,Stanley S. SquarePants
101-A,S6E01,酷炫豪宅,House Fancy
101-B,S6E02,逃獄記,Krabby Road
102-A,S6E03,給我一塊錢,Penny Foolish
102-B,S6E04,用功好學生,Nautical Novice
103-A,S6E05,神鬼戰士,Spongicus
103-B,S6E06,完美的樂章,Suction Cup Symphony
104-A,S6E07,我不正常,Not Normal
104-B,S6E08,獨角戲,Gone
105-A,S6E09,小刺傷,The Splinter
105-B,S6E10,溜溜笛,Slide Whistle Stooges
106-A,S6E11,你要學蝦霸,A Life in a Day
106-B,S6E12,我要曬黑,Sun Bleached
107-A,S6E13,超大章魚哥,Giant Squidward
107-B,S6E14,我愛鼻子,No Nose Knows
108-A,S6E15,誰是小偷,Patty Caper
108-B,S6E16,皮老闆的老主顧,Plankton's Regular
109-A,S6E17,最佳拍檔,Boating Buddies
109-B,S6E18,八卦報,The Krabby Kronicle
110-A,S6E19,睡衣派對,The Slumber Party
110-B,S6E20,寵物秀,Grooming Gary
111-A,S6E21,海綿寶寶與一波巨浪,SpongeBob SquarePants vs. The Big One
112-A,S6E22,有錢的大爺,Porous Pockets
112-B,S6E23,天籟美聲,Choir Boys
113-A,S6E24,絕命雙尊,Krusty Krushers
113-B,S6E25,神奇珍寶卡,The Card
114-A,S6E26,我愛維京人,Dear Vikings
114-B,S6E27,逃學記,Ditchin'
115-A,S6E28,海盜阿公,Grandpappy the Pirate
115-B,S6E29,章魚花枝幫,Cephalopod Lodge
116-A,S6E30,請來我家玩,Squid's Visit
116-B,S6E31,圓褲褲,To SquarePants or Not to SquarePants
117-A,S6E32,專業替身,Shuffleboarding
117-B,S6E33,冒牌貨,Professor Squidward
118-A,S6E34,心愛的寵物,Pet or Pests
118-B,S6E35,不能沒有妳,Komputer Overload
119-A,S6E36,我愛秘密,Gullible Pants
119-B,S6E37,分身乏術,Overbooked
120-A,S6E38,我愛帽帽,No Hat for Pat
120-B,S6E39,我愛玩具店,Toy Store of Doom
121-A,S6E40,沙堡大戰,Sand Castles in the Sand
121-B,S6E41,無殼小蝸,Shell Shocked
122-A,S6E42,海之霸稱霸記,Chum Bucket Supreme
122-B,S6E43,皮老闆結婚週年,Single Cell Anniversary
123-A,S6E44,冰庫歷險記,Truth or Square
124-A,S6E44,冰庫歷險記,Truth or Square
125-A,S6E45,風雨來襲,Pineapple Fever
125-B,S6E46,海霸洞,Chum Caverns
126-A,S6E47,海神王的派對／崔頓大顯神通,Neptune's Party／The Clash of Triton
127-A,S7E01,章魚哥上電視,Tentacle-Vision
127-B,S7E02,我愛跳舞,I ♥ Dancing
128-A,S7E03,愛女心切,Growth Spout
128-B,S7E04,動彈不得,Stuck in the Wringer
129-A,S7E05,冒牌珊迪,Someone's in the Kitchen with Sandy
129-B,S7E06,心靈相通,The Inside Job
130-A,S7E07,油滋滋大戰,Greasy Buffoons
130-B,S7E08,海綿名模,Model Sponge
131-A,S7E09,美化比奇堡,Keep Bikini Bottom Beautiful
131-B,S7E10,小蝸的玩伴,A Pal for Gary
132-A,S7E11,分享最快樂,"Yours, Mine and Mine"
132-B,S7E12,小氣天王,Kracked Krabs
133-A,S7E13,變鬼記,The Curse of Bikini Bottom
133-B,S7E14,豎笛幻境,Squidward in Clarinetland
134-A,S7E15,力挽狂瀾,SpongeBob's Last Stand
135-A,S7E16,時空大亂,Back to the Past
135-B,S7E17,壞蛋集團,The Bad Guy Club for Villains
136-A,S7E18,今天我不哭,A Day Without Tears
136-B,S7E19,暑假打工記,Summer Job
137-A,S7E20,我怕鯨魚,One Coarse Meal
137-B,S7E21,小蝸戀愛了,Gary in Love
138-A,S7E22,歡唱美食秀,The Play's the Thing
138-B,S7E23,搶救珊迪,Rodeo Daze
139-A,S7E24,老奶奶的祕方,Gramma's Secret Recipe
139-B,S7E25,財迷心竅,The Cent of Money
140-A,S7E26,怪物侵占比奇堡,The Monster Who Came to Bikini Bottom
140-B,S7E27,比奇堡神秘三角洲,Welcome to the Bikini Bottom Triangle
141-A,S7E28,蟹老闆被詛咒,The Curse of the Hex
141-B,S7E29,神奇排水溝,The Main Drain
142-A,S7E30,洞窟歷險記,Trenchbillies
142-B,S7E31,海綿火山爆發,Sponge-Cano!
143-A,S7E32,海底快車大竊案,The Great Patty Caper
144-A,S7E33,一起沉下去,That Sinking Feeling
144-B,S7E34,我劈我劈我劈劈劈,Karate Star
145-A,S7E35,埋葬過去,Buried in Time
145-B,S7E36,美夢成真,Enchanted Tiki Dreams
146-A,S7E37,我的黑心面,The Abrasive Side
146-B,S7E38,穿腦魔音,Earworm
147-A,S7E39,捉迷藏,Hide and Then What Happens?
147-B,S7E40,冒牌小蝸,Shellback Shenanigans
148-A,S7E41,曠世巨作,The Masterpiece
148-B,S7E42,蛾螺入侵記,Whelk Attack
149-A,S7E43,你不瞭解海綿寶寶,You Don't Know Sponge
149-B,S7E44,手套樂園,Tunnel of Glove
150-A,S7E45,美味熱狗,Krusty Dogs
150-B,S7E46,夢不落號探險記,The Wreck of the Mauna Loa
151-A,S7E47,我愛芳鄰,New Fish in Town
151-B,S7E48,章魚之愛,Love That Squid
152-A,S7E49,姊弟情深,Big Sister Sam
152-B,S7E50,一拍即合,Perfect Chemistry
153-A,S8E01,我要檢舉你,Accidents Will Happen
153-B,S8E02,一對冤家,The Other Patty
154-A,S8E03,欲速則不達,Drive Thru
154-B,S8E04,東尼小子,The Hot Shot
155-A,S8E05,小白球友誼賽,A Friendly Game
155-B,S8E06,珍藏回憶,Sentimental Sponge
156-A,S8E07,海綿寶寶之冰天雪地大對決,Frozen Face-Off
157-A,S8E08,派大星變大人,Squidward's School for Grown-Ups
157-B,S8E09,演講恐慌症,Oral Report
158-A,S8E10,魔音穿腦,Sweet and Sour Squid
158-B,S8E11,天才藝術家,The Googly Artiste
159-A,S8E12,歡樂家庭旅遊記,A SquarePants Family Vacation
160-A,S8E13,派大星在家渡假,Patrick's Staycation
160-B,S8E14,遊輪陰謀,Walking the Plankton
161-A,S8E15,月球遊記,Mooncation
161-B,S8E16,蟹老闆渡假去,Mr. Krabs Takes a Vacation
162-A,S8E17,鬼船歷險記,Ghoul Fools
163-A,S8E18,超級英雄發跡記,Mermaid Man Begins
163-B,S8E19,皮老闆的好心眼,Plankton's Good Eye
164-A,S8E20,美美大作戰,Barnacle Face
164-B,S8E21,傻呼呼寵物保母,Pet Sitter Pat
165-A,S8E22,幫珊迪看家,House Sittin' for Sandy
165-B,S8E23,比奇堡抒情爵士,Smoothe Jazz at Bikini Bottom
166-A,S8E24,泡泡危機,Bubble Troubles
166-B,S8E25,海綿寶寶得道記,The Way of the Sponge
167-A,S8E26,大肉餅來襲,The Krabby Patty That Ate Bikini Bottom
167-B,S8E27,小亮大鬧比奇堡,Bubble Buddy Returns
168-A,S8E28,海綿寶寶禁制令,Restraining SpongeBob
168-B,S8E29,大師傑作,Fiasco!
169-A,S8E30,你快樂了嗎,Are You Happy Now?
169-B,S8E31,水母怪大鬧比奇堡,Planet of the Jellyfish
170-A,S8E32,免費試吃,Free Samples
170-B,S8E33,鳳梨屋腐敗記,Home Sweet Rubble
171-A,S8E34,凱倫二號,Karen 2.0
171-B,S8E35,失眠記,InSPONGEiac
172-A,S8E36,我愛做鬼臉,Face Freeze!
172-B,S8E37,再見，手套樂園,Glove World R.I.P.
173-A,S8E38,章魚絕症,Squiditis
173-B,S8E39,泡芙阿姨生病記,Demolition Doofus
174-A,S8E40,我愛蝸蝸樂,Treats!
174-B,S8E41,芝麻大猜謎,For Here or to Go
175-A,S8E42,海綿寶寶之聖誕大陰謀,It's a SpongeBob Christmas!
176-A,S8E43,壞蛋搭檔,Super Evil Aquatic Villain Team Up is Go!
176-B,S8E44,海之霸丸,Chum Fricassee
177-A,S8E45,蟹堡王好好吃,The Good Krabby Name
177-B,S8E46,不搬走就剷平,Move It or Lose It
178-A,S8E47,我要當巨星,Hello Bikini Bottom!
179-A,S9E01,我愛極限運動,Extreme Spots
179-B,S9E02,我愛破紀錄,Squirrel Record
180-A,S9E03,派大超出動,Patrick-Man!
180-B,S9E04,小蝸的新玩具,Gary's New Toy
181-A,S9E05,奶昔執照,License to Milkshake
181-B,S9E06,章魚哥寶寶,Squid Baby
182-A,S9E07,偷看日記賊,Little Yellow Book
182-B,S9E08,泡芙阿姨的煩惱,Bumper to Bumper
183-A,S9E09,大戰海膽,"Eek, an Urchin!"
183-B,S9E10,章魚哥大師,Squid Defense
184-A,S9E11,皮老闆逃獄記,Jailbreak!
184-B,S9E12,壞壞煎鏟,Evil Spatula
185-A,S9E13,可怕泡泡糊,It Came from Goo Lagoon
186-A,S9E14,有錢錢就好,Safe Deposit Krabs
186-B,S9E15,皮老闆的寵物,Plankton's Pet
187-A,S9E16,不要嚇我,Don't Look Now
187-B,S9E17,恐怖召靈會,Séance Shméance
188-A,S9E18,肯尼阿貓,Kenny the Cat
188-B,S9E19,吃人雪怪蟹,Yeti Krabs
189-A,S9E20,海綿寶寶失業了,SpongeBob You're Fired
190-A,S9E21,比奇堡迷路記,Lost in Bikini Bottom
190-B,S9E22,蟹老闆教練,Tutor Sauce
191-A,S9E23,章魚哥加一位,Squid Plus One
191-B,S9E24,成功人士特餐,The Executive Treatment
192-A,S9E25,員工野餐會,Company Picnic
192-B,S9E26,美好的回憶,Pull Up a Barrel
193-A,S9E27,我愛蝸牛,Sanctuary!
193-B,S9E28,大胃王派大星,What's Eating Patrick?
194-A,S9E29,派大星遊戲,Patrick! The Game
194-B,S9E30,下水道歷險記,The Sewers of Bikini Bottom
195-A,S9E31,一秒變熟男,SpongeBob LongPants
195-B,S9E32,一秒變猛男,Larry's Gym
196-A,S9E33,我在盯著你,The Fish Bowl
196-B,S9E34,我愛小錢錢,Married to Money
197-A,S9E35,珍珍打工記,Mall Girl Pearl
197-B,S9E36,還我拇指來,Two Thumbs Down
198-A,S9E37,鯊鯊幫最鯊,Sharks vs. Pods
198-B,S9E38,複製海綿寶寶,CopyBob DittoPants
199-A,S9E39,你家就是我家,Sold!
199-B,S9E40,神準籤餅,Lame and Fortune
200-A,S9E41,蟹老闆發大財,"Goodbye, Krabby Patty?"
201-A,S9E42,珊迪愛堅果,Sandy's Nutmare
201-B,S9E43,留言板板,Bulletin Board
202-A,S9E44,黃金聚寶盆,Food Con Castaways
202-B,S9E45,親愛的筆友,Snail Mail
203-A,S9E46,入侵鳳梨屋,Pineapple Invasion
203-B,S9E47,一秒變呆呆,Salsa Imbecilicus
204-A,S9E48,船長真偉大,Mutiny on the Krusty
204-B,S9E49,派大星拔牙記,The Whole Tooth
